iter	Passed	Remaining
0	2	235
1	4	226
2	6	210
3	8	192
4	9	188
5	12	188
6	13	184
7	15	181
8	17	181
9	19	178
10	21	175
11	23	172
12	25	168
13	27	166
14	29	165
15	31	164
16	32	160
17	34	157
18	36	154
19	37	151
20	39	149
21	41	147
22	43	144
23	45	142
24	46	140
25	48	137
26	49	135
27	51	132
28	54	133
29	57	133
30	58	131
31	60	128
32	62	126
33	64	124
34	66	122
35	68	121
36	70	119
37	71	117
38	73	115
39	75	113
40	77	111
41	77	107
42	79	105
43	81	103
44	82	101
45	84	99
46	86	97
47	88	95
48	89	93
49	91	91
50	93	89
51	95	87
52	96	85
53	98	83
54	99	81
55	101	79
56	102	77
57	104	75
58	106	73
59	107	71
60	109	70
61	111	68
62	112	66
63	114	64
64	116	62
65	117	60
66	119	58
67	120	56
68	122	54
69	124	53
70	127	52
71	130	50
72	132	49
73	134	47
74	136	45
75	138	43
76	140	42
77	142	40
78	144	38
79	146	36
80	147	34
81	149	32
82	151	31
83	153	29
84	155	27
85	157	25
86	159	23
87	161	22
88	163	20
89	165	18
90	167	16
91	169	14
92	171	12
93	173	11
94	175	9
95	177	7
96	178	5
97	180	3
98	182	1
99	184	0
